	items.a	items.b	items.g	items.u	means	F
better	2.465754431467	0.450916391940199	0	1	0	1
bib	2.62448161813786	2.76728741008549	0	1	0	1
bicycle	2.62448161813786	2.76728741008549	0	1	0	1
big	2.62448161813786	2.76728741008549	0	1	0	1
bird	2.62448161813786	2.76728741008549	0	1	0	1
bite	2.62448161813786	2.76728741008549	0	1	0	1
black	2.6667729207472	0.691140044696559	0	1	0	1
blanket	2.64232364438821	0.699848685630282	0	1	0	1
block	2.62448161813786	2.76728741008549	0	1	0	1
blow	2.62448161813786	2.76728741008549	0	1	0	1
blue	2.62448161813786	2.76728741008549	0	1	0	1
boat	2.62448161813786	2.76728741008549	0	1	0	1
book	2.62448161813786	2.76728741008549	0	1	0	1
boots	2.62448161813786	2.76728741008549	0	1	0	1
bottle	2.62448161813786	2.76728741008549	0	1	0	1
bowl	2.62448161813786	2.76728741008549	0	1	0	1
box	2.62448161813786	2.76728741008549	0	1	0	1
boy	2.62448161813786	2.76728741008549	0	1	0	1
bread	2.62448161813786	2.76728741008549	0	1	0	1
break.	2.78499464007131	0.369575911639526	0	1	0	1
breakfast	2.62448161813786	2.76728741008549	0	1	0	1
bring	2.60008496297738	0.715288566327389	0	1	0	1
broken	2.62448161813786	2.76728741008549	0	1	0	1
broom	2.62448161813786	2.76728741008549	0	1	0	1
brother	2.2378426420431	0.523669766183109	0	1	0	1
brown	2.62448161813786	2.76728741008549	0	1	0	1
brush	2.62448161813786	2.76728741008549	0	1	0	1
bubbles	2.62448161813786	2.76728741008549	0	1	0	1
bucket	2.62448161813786	2.76728741008549	0	1	0	1
bug	2.65972791919863	0.693632589997272	0	1	0	1
build	2.62448161813786	2.76728741008549	0	1	0	1
bump	2.62448161813786	2.76728741008549	0	1	0	1
bunny	2.64117868264586	0.700260555772122	0	1	0	1
bus	2.62448161813786	2.76728741008549	0	1	0	1
butter	2.62448161813786	2.76728741008549	0	1	0	1
butterfly	2.62448161813786	2.76728741008549	0	1	0	1
button	2.62448161813786	2.76728741008549	0	1	0	1
buy	2.9718660855591	-0.192672945060117	0	1	0	1
by	2.62448161813786	2.76728741008549	0	1	0	1
bye	2.62448161813786	2.76728741008549	0	1	0	1
cake	2.62448161813786	2.76728741008549	0	1	0	1
call	2.62448161813786	2.76728741008549	0	1	0	1
camera	2.39491532634679	0.798236762389638	0	1	0	1
camping	2.33051444547172	0.82735495253624	0	1	0	1
candy	2.62448161813786	2.76728741008549	0	1	0	1
car	2.88452036892033	-0.0816780422031815	0	1	0	1
careful	2.62448161813786	2.76728741008549	0	1	0	1
carrots	2.62448161813786	2.76728741008549	0	1	0	1
carry	2.65972791919863	0.693632589997272	0	1	0	1
cat	2.62448161813786	2.76728741008549	0	1	0	1
catch	2.62448161813786	2.76728741008549	0	1	0	1
cereal	2.62750533960372	0.705207422033891	0	1	0	1
chair	2.62448161813786	2.76728741008549	0	1	0	1
chalk	2.62448161813786	2.76728741008549	0	1	0	1
chase	2.62448161813786	2.76728741008549	0	1	0	1
cheek	2.62448161813786	2.76728741008549	0	1	0	1
cheerios	2.62448161813786	2.76728741008549	0	1	0	1
cheese	2.53577668797267	0.23345967531327	0	1	0	1
child	2.64809068787268	0.401978152702286	0	1	0	1
chin	2.62448161813786	2.76728741008549	0	1	0	1
chocolate	2.62448161813786	2.76728741008549	0	1	0	1
church	2.62448161813786	2.76728741008549	0	1	0	1
circus	2.62448161813786	2.76728741008549	0	1	0	1
clap	2.42827065437681	0.783775351258062	0	1	0	1
climb	2.50564793389111	0.751741693131733	0	1	0	1
clock	2.62448161813786	2.76728741008549	0	1	0	1
close	2.47916651536315	0.447063648260565	0	1	0	1
closet	2.62448161813786	2.76728741008549	0	1	0	1
cloud	2.62448161813786	2.76728741008549	0	1	0	1
clown	2.62448161813786	2.76728741008549	0	1	0	1
coat	2.62448161813786	2.76728741008549	0	1	0	1
coffee	2.39491532634679	0.798236762389638	0	1	0	1
coke	2.62448161813786	2.76728741008549	0	1	0	1
cold	2.65972791919863	0.693632589997272	0	1	0	1
comb	2.62448161813786	2.76728741008549	0	1	0	1
cook	2.62448161813786	2.76728741008549	0	1	0	1
cookie	2.62448161813786	2.76728741008549	0	1	0	1
corn	2.62448161813786	2.76728741008549	0	1	0	1
couch	2.62448161813786	2.76728741008549	0	1	0	1
country	2.62448161813786	2.76728741008549	0	1	0	1
cover	2.89469994253279	-0.620952373328636	0	1	0	1
cow	2.46302851832197	0.769131413687902	0	1	0	1
cowboy	2.62448161813786	2.76728741008549	0	1	0	1
cracker	2.62448161813786	2.76728741008549	0	1	0	1
crayon	2.62448161813786	2.76728741008549	0	1	0	1
crib	2.62448161813786	2.76728741008549	0	1	0	1
cry	2.70022643414368	0.38923847430801	0	1	0	1
cup	2.68901972897352	0.204949317940518	0	1	0	1
cut	2.62448161813786	2.76728741008549	0	1	0	1
cute	2.62448161813786	2.76728741008549	0	1	0	1
daddy	2.64232364438821	0.699848685630282	0	1	0	1
dance	2.62448161813786	2.76728741008549	0	1	0	1
dark	2.62448161813786	2.76728741008549	0	1	0	1
day	2.72978524028062	0.382237970036789	0	1	0	1
deer	2.46302851832197	0.769131413687902	0	1	0	1
diaper	2.43086690274871	-0.0441840339947325	0	1	0	1
did	2.62448161813786	2.76728741008549	0	1	0	1
dinner	2.62448161813786	2.76728741008549	0	1	0	1
dirty	2.62448161813786	2.76728741008549	0	1	0	1
dish	2.62448161813786	2.76728741008549	0	1	0	1
doctor	2.62448161813786	2.76728741008549	0	1	0	1
dog	2.60008496297738	0.715288566327389	0	1	0	1
doll	2.2056348647763	0.535198540933024	0	1	0	1
donkey	2.62448161813786	2.76728741008549	0	1	0	1
donut	2.62448161813786	2.76728741008549	0	1	0	1
door	2.62448161813786	2.76728741008549	0	1	0	1
down	2.62448161813786	2.76728741008549	0	1	0	1
downtown	2.38038269449265	0.476489774655492	0	1	0	1
draw	2.62448161813786	2.76728741008549	0	1	0	1
drawer	2.62448161813786	2.76728741008549	0	1	0	1
dress	2.62448161813786	2.76728741008549	0	1	0	1
drive	2.62448161813786	2.76728741008549	0	1	0	1
drop	2.62448161813786	2.76728741008549	0	1	0	1
dryer	2.62448161813786	2.76728741008549	0	1	0	1
duck	2.30453671383528	0.500847796659919	0	1	0	1
dump	2.42827065437681	0.783775351258062	0	1	0	1
each	2.62448161813786	2.76728741008549	0	1	0	1
ear	2.62448161813786	2.76728741008549	0	1	0	1
eat	2.44750092244942	0.456229993090898	0	1	0	1
egg	2.62448161813786	2.76728741008549	0	1	0	1
elephant	2.60008496297738	0.715288566327389	0	1	0	1
empty	2.62448161813786	2.76728741008549	0	1	0	1
every	2.62448161813786	2.76728741008549	0	1	0	1
eye	2.6490246347793	0.2120599448838	0	1	0	1
face	2.82947472401119	-0.293396044128913	0	1	0	1
fall	2.62448161813786	2.76728741008549	0	1	0	1
farm	2.62448161813786	2.76728741008549	0	1	0	1
fast	2.62448161813786	2.76728741008549	0	1	0	1
feed	2.62448161813786	2.76728741008549	0	1	0	1
find	2.66588373425653	0.209035447019787	0	1	0	1
fine	2.62448161813786	2.76728741008549	0	1	0	1
finger	2.50564793389111	0.751741693131733	0	1	0	1
finish	2.77168909650438	0.190928608562498	0	1	0	1
fireman	2.62448161813786	2.76728741008549	0	1	0	1
firetruck	2.65972791919863	0.693632589997272	0	1	0	1
first	2.62448161813786	2.76728741008549	0	1	0	1
fit	2.45980864623751	0.77047025444588	0	1	0	1
fix	2.55259177178303	0.426709220958031	0	1	0	1
flag	2.60008496297738	0.715288566327389	0	1	0	1
flower	2.62448161813786	2.76728741008549	0	1	0	1
food	2.62448161813786	2.76728741008549	0	1	0	1
foot	2.62448161813786	2.76728741008549	0	1	0	1
for.	2.07874472374171	-0.00291496292048858	0	1	0	1
fork	2.62448161813786	2.76728741008549	0	1	0	1
friend	2.62448161813786	2.76728741008549	0	1	0	1
frog	2.70674827200028	0.387680648001733	0	1	0	1
full	2.42827065437681	0.783775351258062	0	1	0	1
game	2.62448161813786	2.76728741008549	0	1	0	1
garage	2.58014260460728	0.0727802926128816	0	1	0	1
garbage	2.62448161813786	2.76728741008549	0	1	0	1
garden	2.62448161813786	2.76728741008549	0	1	0	1
gentle	2.86506965703513	0.176103437314953	0	1	0	1
get	2.62448161813786	2.76728741008549	0	1	0	1
giraffe	2.62448161813786	2.76728741008549	0	1	0	1
girl	2.62448161813786	2.76728741008549	0	1	0	1
give	2.62448161813786	2.76728741008549	0	1	0	1
glass	2.62448161813786	2.76728741008549	0	1	0	1
glasses	3.00699262611071	-0.0897382576587633	0	1	0	1
gloves	2.62448161813786	2.76728741008549	0	1	0	1
glue	2.62448161813786	2.76728741008549	0	1	0	1
go	2.12406581566812	0.331309230008114	0	1	0	1
good	2.62448161813786	2.76728741008549	0	1	0	1
goose	2.62448161813786	2.76728741008549	0	1	0	1
grandma	2.62750533960372	0.705207422033891	0	1	0	1
grandpa	2.62448161813786	2.76728741008549	0	1	0	1
grapes	2.50564793389111	0.751741693131733	0	1	0	1
grass	2.62448161813786	2.76728741008549	0	1	0	1
green	2.62448161813786	2.76728741008549	0	1	0	1
grrr	2.30138296238349	0.501896417248737	0	1	0	1
gum	2.62448161813786	2.76728741008549	0	1	0	1
hair	2.60008496297738	0.715288566327389	0	1	0	1
hamburger	2.42827065437681	0.783775351258062	0	1	0	1
hammer	2.62448161813786	2.76728741008549	0	1	0	1
hand	2.97931113317908	0.0264703653130349	0	1	0	1
happy	2.62448161813786	2.76728741008549	0	1	0	1
hard	2.50564793389111	0.751741693131733	0	1	0	1
hat	2.62448161813786	2.76728741008549	0	1	0	1
hate	2.62448161813786	2.76728741008549	0	1	0	1
have	2.62448161813786	2.76728741008549	0	1	0	1
he	2.62448161813786	2.76728741008549	0	1	0	1
head	2.29951982925734	-0.419075755683556	0	1	0	1
hear	2.62448161813786	2.76728741008549	0	1	0	1
heavy	2.62448161813786	2.76728741008549	0	1	0	1
helicopter	2.62448161813786	2.76728741008549	0	1	0	1
hello	2.62448161813786	2.76728741008549	0	1	0	1
help	2.62448161813786	2.76728741008549	0	1	0	1
hen	2.62448161813786	2.76728741008549	0	1	0	1
her	2.6667729207472	0.691140044696559	0	1	0	1
here	2.47916651536315	0.447063648260565	0	1	0	1
hers	2.62448161813786	2.76728741008549	0	1	0	1
hi	2.62448161813786	2.76728741008549	0	1	0	1
hide	2.62750533960372	0.705207422033891	0	1	0	1
high	2.47147466553686	0.449267720724281	0	1	0	1
him	2.75259136525017	-0.184982281501065	0	1	0	1
his	2.33051444547172	0.82735495253624	0	1	0	1
hit	2.62448161813786	2.76728741008549	0	1	0	1
hold	2.62448161813786	2.76728741008549	0	1	0	1
home	2.62448161813786	2.76728741008549	0	1	0	1
horse	2.78040287812741	0.652728612300181	0	1	0	1
hose	2.50020953687078	0.240597757522463	0	1	0	1
hot	2.65972791919863	0.693632589997272	0	1	0	1
house	2.45980864623751	0.77047025444588	0	1	0	1
how	2.62448161813786	2.76728741008549	0	1	0	1
hug	2.62448161813786	2.76728741008549	0	1	0	1
hungry	2.33051444547172	0.82735495253624	0	1	0	1
hurry	2.62448161813786	2.76728741008549	0	1	0	1
hurt	2.62448161813786	2.76728741008549	0	1	0	1
ice	2.62448161813786	2.76728741008549	0	1	0	1
inside	2.62448161813786	2.76728741008549	0	1	0	1
into	2.62448161813786	2.76728741008549	0	1	0	1
it	2.62448161813786	2.76728741008549	0	1	0	1
jacket	2.62448161813786	2.76728741008549	0	1	0	1
jar	2.62448161813786	2.76728741008549	0	1	0	1
jeans	2.62448161813786	2.76728741008549	0	1	0	1
jello	2.62448161813786	2.76728741008549	0	1	0	1
jelly	2.62448161813786	2.76728741008549	0	1	0	1
juice	2.6667729207472	0.691140044696559	0	1	0	1
jump	2.46302851832197	0.769131413687902	0	1	0	1
keys	2.62448161813786	2.76728741008549	0	1	0	1
kick	2.62448161813786	2.76728741008549	0	1	0	1
kiss	2.54401925747145	0.736595540000776	0	1	0	1
kitchen	2.26168192548726	-0.0260645004221665	0	1	0	1
kitty	2.62448161813786	2.76728741008549	0	1	0	1
knee	2.42827065437681	0.783775351258062	0	1	0	1
knife	2.62448161813786	2.76728741008549	0	1	0	1
knock	2.33051444547172	0.82735495253624	0	1	0	1
ladder	2.6667729207472	0.691140044696559	0	1	0	1
lady	2.50564793389111	0.751741693131733	0	1	0	1
lamb	2.62448161813786	2.76728741008549	0	1	0	1
lamp	2.62448161813786	2.76728741008549	0	1	0	1
last	2.62448161813786	2.76728741008549	0	1	0	1
later	2.62448161813786	2.76728741008549	0	1	0	1
leg	2.62448161813786	2.76728741008549	0	1	0	1
lick	2.62448161813786	2.76728741008549	0	1	0	1
light	2.62448161813786	2.76728741008549	0	1	0	1
like	2.62448161813786	2.76728741008549	0	1	0	1
lion	2.62448161813786	2.76728741008549	0	1	0	1
lips	2.62448161813786	2.76728741008549	0	1	0	1
listen	2.62448161813786	2.76728741008549	0	1	0	1
little	2.65972791919863	0.693632589997272	0	1	0	1
lollipop	2.39491532634679	0.798236762389638	0	1	0	1
long	2.62448161813786	2.76728741008549	0	1	0	1
look	2.62448161813786	2.76728741008549	0	1	0	1
loud	2.50564793389111	0.751741693131733	0	1	0	1
love	2.62448161813786	2.76728741008549	0	1	0	1
lunch	2.67505680005957	0.395324971157108	0	1	0	1
mad	2.25044082689841	0.519251626620713	0	1	0	1
mailman	2.62448161813786	2.76728741008549	0	1	0	1
make	2.50564793389111	0.751741693131733	0	1	0	1
man	2.62448161813786	2.76728741008549	0	1	0	1
me	2.62448161813786	2.76728741008549	0	1	0	1
meat	2.54346122712844	0.0777950692911653	0	1	0	1
medicine	2.62448161813786	2.76728741008549	0	1	0	1
melon	3.14310032552602	-0.389753701149978	0	1	0	1
meow	2.62448161813786	2.76728741008549	0	1	0	1
milk	2.69160603383683	-0.182592520819622	0	1	0	1
mine	2.62448161813786	2.76728741008549	0	1	0	1
mittens	2.74668931192578	0.195075367363204	0	1	0	1
mommy	2.62448161813786	2.76728741008549	0	1	0	1
money	2.62448161813786	2.76728741008549	0	1	0	1
monkey	2.03058201187746	0.359261174169867	0	1	0	1
moo	2.62448161813786	2.76728741008549	0	1	0	1
moon	2.62448161813786	2.76728741008549	0	1	0	1
moose	2.64232364438821	0.699848685630282	0	1	0	1
mop	2.62448161813786	2.76728741008549	0	1	0	1
more	2.62448161813786	2.76728741008549	0	1	0	1
morning	2.62448161813786	2.76728741008549	0	1	0	1
motorcycle	2.62448161813786	2.76728741008549	0	1	0	1
mouse	2.62448161813786	2.76728741008549	0	1	0	1
mouth	2.62448161813786	2.76728741008549	0	1	0	1
movie	2.62448161813786	2.76728741008549	0	1	0	1
much	2.62448161813786	2.76728741008549	0	1	0	1
muffin	2.62448161813786	2.76728741008549	0	1	0	1
my	2.62448161813786	2.76728741008549	0	1	0	1
myself	2.50564793389111	0.751741693131733	0	1	0	1
nail	2.62448161813786	2.76728741008549	0	1	0	1
nap	2.62448161813786	2.76728741008549	0	1	0	1
napkin	2.62448161813786	2.76728741008549	0	1	0	1
naughty	2.62448161813786	2.76728741008549	0	1	0	1
necklace	2.38307365663268	0.47565501365395	0	1	0	1
new	2.62448161813786	2.76728741008549	0	1	0	1
nice	2.62448161813786	2.76728741008549	0	1	0	1
night	2.62448161813786	2.76728741008549	0	1	0	1
no	2.62448161813786	2.76728741008549	0	1	0	1
noisy	2.62448161813786	2.76728741008549	0	1	0	1
none	2.62448161813786	2.76728741008549	0	1	0	1
noodles	2.62448161813786	2.76728741008549	0	1	0	1
nose	2.62448161813786	2.76728741008549	0	1	0	1
not	2.62448161813786	2.76728741008549	0	1	0	1
now	2.62448161813786	2.76728741008549	0	1	0	1
nurse	2.64232364438821	0.699848685630282	0	1	0	1
nuts	2.51333480851171	0.437439643145281	0	1	0	1
of	2.62448161813786	2.76728741008549	0	1	0	1
off	2.62448161813786	2.76728741008549	0	1	0	1
old	2.26870412468659	0.512937940579022	0	1	0	1
on	2.62448161813786	2.76728741008549	0	1	0	1
open	2.62448161813786	2.76728741008549	0	1	0	1
other	2.6667729207472	0.691140044696559	0	1	0	1
ouch	2.62448161813786	2.76728741008549	0	1	0	1
our	2.62448161813786	2.76728741008549	0	1	0	1
out	2.62448161813786	2.76728741008549	0	1	0	1
outside	2.44637833879737	0.456559428955485	0	1	0	1
oven	2.68820748779362	-0.403564565554607	0	1	0	1
over	2.62448161813786	2.76728741008549	0	1	0	1
owl	2.62448161813786	2.76728741008549	0	1	0	1
paint	2.62448161813786	2.76728741008549	0	1	0	1
pajamas	2.62448161813786	2.76728741008549	0	1	0	1
pancake	2.62448161813786	2.76728741008549	0	1	0	1
pants	2.64232364438821	0.699848685630282	0	1	0	1
paper	2.42827065437681	0.783775351258062	0	1	0	1
park	2.62448161813786	2.76728741008549	0	1	0	1
party	2.46302851832197	0.769131413687902	0	1	0	1
pattycake	2.40485427393906	-0.169519853413673	0	1	0	1
peas	2.62448161813786	2.76728741008549	0	1	0	1
peekaboo	2.62448161813786	2.76728741008549	0	1	0	1
pen	2.42827065437681	0.783775351258062	0	1	0	1
pencil	2.64232364438821	0.699848685630282	0	1	0	1
penguin	2.54401925747145	0.736595540000776	0	1	0	1
penis	2.62448161813786	2.76728741008549	0	1	0	1
penny	2.62448161813786	2.76728741008549	0	1	0	1
people	2.62448161813786	2.76728741008549	0	1	0	1
person	2.62448161813786	2.76728741008549	0	1	0	1
pick	2.62448161813786	2.76728741008549	0	1	0	1
pickle	2.6667729207472	0.691140044696559	0	1	0	1
picnic	2.48368091473427	0.243986792167033	0	1	0	1
picture	2.62448161813786	2.76728741008549	0	1	0	1
pig	2.62448161813786	2.76728741008549	0	1	0	1
pillow	2.62448161813786	2.76728741008549	0	1	0	1
pizza	2.30138296238349	0.501896417248737	0	1	0	1
plant	2.78040287812741	0.652728612300181	0	1	0	1
plate	2.62448161813786	2.76728741008549	0	1	0	1
play	2.78040287812741	0.652728612300181	0	1	0	1
playground	3.03862859307138	-0.495422995853571	0	1	0	1
please	2.62448161813786	2.76728741008549	0	1	0	1
police	2.62448161813786	2.76728741008549	0	1	0	1
pony	2.30138296238349	0.501896417248737	0	1	0	1
pool	2.35306971663861	0.272507715471761	0	1	0	1
poor	2.62448161813786	2.76728741008549	0	1	0	1
popcorn	2.62448161813786	2.76728741008549	0	1	0	1
popsicle	2.60008496297738	0.715288566327389	0	1	0	1
porch	2.39491532634679	0.798236762389638	0	1	0	1
potato	2.62448161813786	2.76728741008549	0	1	0	1
potty	2.62448161813786	2.76728741008549	0	1	0	1
pour	2.62448161813786	2.76728741008549	0	1	0	1
present	2.5741400951776	0.225992036404296	0	1	0	1
pretend	2.62448161813786	2.76728741008549	0	1	0	1
pretty	2.62448161813786	2.76728741008549	0	1	0	1
pretzel	2.81199717409841	0.363570560226396	0	1	0	1
pudding	2.62448161813786	2.76728741008549	0	1	0	1
pull	2.54401925747145	0.736595540000776	0	1	0	1
pumpkin	2.75257869023373	0.0510414997590849	0	1	0	1
puppy	2.62448161813786	2.76728741008549	0	1	0	1
purse	2.5803689202061	0.419321158643941	0	1	0	1
push	2.64117868264586	0.700260555772122	0	1	0	1
put	2.62448161813786	2.76728741008549	0	1	0	1
puzzle	2.67505680005957	0.395324971157108	0	1	0	1
quiet	2.62448161813786	2.76728741008549	0	1	0	1
radio	2.62448161813786	2.76728741008549	0	1	0	1
rain	2.12406581566812	0.331309230008114	0	1	0	1
raisin	2.71367756853386	0.386033782267439	0	1	0	1
read	2.62448161813786	2.76728741008549	0	1	0	1
red	2.62448161813786	2.76728741008549	0	1	0	1
refrigerator	2.62448161813786	2.76728741008549	0	1	0	1
ride	2.62448161813786	2.76728741008549	0	1	0	1
rip	2.62448161813786	2.76728741008549	0	1	0	1
rock	2.62448161813786	2.76728741008549	0	1	0	1
roof	2.62448161813786	2.76728741008549	0	1	0	1
room	2.39491532634679	0.798236762389638	0	1	0	1
rooster	2.65972791919863	0.693632589997272	0	1	0	1
run	2.62448161813786	2.76728741008549	0	1	0	1
sad	2.62448161813786	2.76728741008549	0	1	0	1
salt	2.62448161813786	2.76728741008549	0	1	0	1
same	2.58627071854534	-0.0586111581890748	0	1	0	1
sandbox	2.78040287812741	0.652728612300181	0	1	0	1
sandwich	2.62448161813786	2.76728741008549	0	1	0	1
sauce	2.62448161813786	2.76728741008549	0	1	0	1
say	2.62448161813786	2.76728741008549	0	1	0	1
scared	2.62448161813786	2.76728741008549	0	1	0	1
scarf	2.42827065437681	0.783775351258062	0	1	0	1
school	2.33051444547172	0.82735495253624	0	1	0	1
scissors	2.62448161813786	2.76728741008549	0	1	0	1
see	2.62448161813786	2.76728741008549	0	1	0	1
shake	2.62448161813786	2.76728741008549	0	1	0	1
share	2.62448161813786	2.76728741008549	0	1	0	1
she	2.42827065437681	0.783775351258062	0	1	0	1
sheep	2.62448161813786	2.76728741008549	0	1	0	1
shush	2.62448161813786	2.76728741008549	0	1	0	1
shirt	2.62448161813786	2.76728741008549	0	1	0	1
shoe	2.73455827864786	0.053177555770233	0	1	0	1
shopping	2.62448161813786	2.76728741008549	0	1	0	1
shorts	2.62448161813786	2.76728741008549	0	1	0	1
shoulder	2.6667729207472	0.691140044696559	0	1	0	1
shovel	2.62448161813786	2.76728741008549	0	1	0	1
show	2.62448161813786	2.76728741008549	0	1	0	1
shower	2.62448161813786	2.76728741008549	0	1	0	1
sick	2.6667729207472	0.691140044696559	0	1	0	1
sidewalk	2.62448161813786	2.76728741008549	0	1	0	1
sing	2.62448161813786	2.76728741008549	0	1	0	1
sink	2.62448161813786	2.76728741008549	0	1	0	1
sister	2.33051444547172	0.82735495253624	0	1	0	1
sit	2.62448161813786	2.76728741008549	0	1	0	1
skate	2.50564793389111	0.751741693131733	0	1	0	1
sky	2.62448161813786	2.76728741008549	0	1	0	1
sled	2.64117868264586	0.700260555772122	0	1	0	1
sleep	2.62448161813786	2.76728741008549	0	1	0	1
sleepy	2.6667729207472	0.691140044696559	0	1	0	1
slipper	2.62448161813786	2.76728741008549	0	1	0	1
slow	2.62448161813786	2.76728741008549	0	1	0	1
smile	2.38038269449265	0.476489774655492	0	1	0	1
snack	2.62448161813786	2.76728741008549	0	1	0	1
sneaker	2.62448161813786	2.76728741008549	0	1	0	1
snow	2.46577364073052	0.247711863375411	0	1	0	1
snowman	2.54401925747145	0.736595540000776	0	1	0	1
snowsuit	2.54807521783009	-0.0552404125739073	0	1	0	1
soap	2.62448161813786	2.76728741008549	0	1	0	1
sock	2.62448161813786	2.76728741008549	0	1	0	1
soda	2.62448161813786	2.76728741008549	0	1	0	1
sofa	2.62448161813786	2.76728741008549	0	1	0	1
soft	2.62448161813786	2.76728741008549	0	1	0	1
some	2.62448161813786	2.76728741008549	0	1	0	1
soup	2.62448161813786	2.76728741008549	0	1	0	1
spaghetti	2.62448161813786	2.76728741008549	0	1	0	1
spill	2.62448161813786	2.76728741008549	0	1	0	1
splash	2.50564793389111	0.751741693131733	0	1	0	1
spoon	2.62448161813786	2.76728741008549	0	1	0	1
sprinkler	2.62448161813786	2.76728741008549	0	1	0	1
squirrel	2.46302851832197	0.769131413687902	0	1	0	1
stairs	2.45980864623751	0.77047025444588	0	1	0	1
stand	2.62448161813786	2.76728741008549	0	1	0	1
star	2.62448161813786	2.76728741008549	0	1	0	1
stay	2.62448161813786	2.76728741008549	0	1	0	1
stick	2.62448161813786	2.76728741008549	0	1	0	1
sticky	2.39491532634679	0.798236762389638	0	1	0	1
stone	2.38098938297	0.26613845990343	0	1	0	1
stop	2.71367756853386	0.386033782267439	0	1	0	1
store	2.62448161813786	2.76728741008549	0	1	0	1
story	2.62448161813786	2.76728741008549	0	1	0	1
stove	2.65763120377278	0.0626456572693301	0	1	0	1
strawberry	2.62448161813786	2.76728741008549	0	1	0	1
street	2.59318337905429	0.0710250631072335	0	1	0	1
stroller	2.62448161813786	2.76728741008549	0	1	0	1
stuck	2.62448161813786	2.76728741008549	0	1	0	1
sun	2.62448161813786	2.76728741008549	0	1	0	1
sweater	2.62448161813786	2.76728741008549	0	1	0	1
sweep	2.73192606582205	0.38173803152742	0	1	0	1
swim	2.62448161813786	2.76728741008549	0	1	0	1
table	2.62448161813786	2.76728741008549	0	1	0	1
take	2.62448161813786	2.76728741008549	0	1	0	1
talk	2.39491532634679	0.798236762389638	0	1	0	1
tape	2.62448161813786	2.76728741008549	0	1	0	1
taste	2.62448161813786	2.76728741008549	0	1	0	1
teacher	2.60901523035737	0.219400305199869	0	1	0	1
tear	2.62448161813786	2.76728741008549	0	1	0	1
telephone	2.64117868264586	0.700260555772122	0	1	0	1
that	2.8303499246377	0.0421470050806316	0	1	0	1
their	2.78040287812741	0.652728612300181	0	1	0	1
them	2.62448161813786	2.76728741008549	0	1	0	1
there	2.62448161813786	2.76728741008549	0	1	0	1
these	2.62448161813786	2.76728741008549	0	1	0	1
they	2.62448161813786	2.76728741008549	0	1	0	1
think	2.62448161813786	2.76728741008549	0	1	0	1
thirsty	2.62448161813786	2.76728741008549	0	1	0	1
this	2.62448161813786	2.76728741008549	0	1	0	1
those	2.62448161813786	2.76728741008549	0	1	0	1
throw	2.74668931192578	0.195075367363204	0	1	0	1
tickle	2.36968314426643	0.47982874925546	0	1	0	1
