> coef(twoPL_run10, IRTpars = TRUE, simplify=TRUE)
$items
                  a       b g u
teacher       2.295   1.898 0 1
tear          6.997   2.970 0 1
telephone     1.521   2.285 0 1
that         14.503  -1.678 0 1
their        14.464  -3.399 0 1
them         14.503  -1.678 0 1
there         1.128  -1.438 0 1
these        14.503  -1.678 0 1
they         14.464  -3.399 0 1
think        14.464  -3.399 0 1
thirsty       6.997   2.970 0 1
this          2.129  -2.367 0 1
those         0.983  -1.017 0 1
throw         1.838  -0.385 0 1
tickle        6.997   2.970 0 1
tiger         6.997   2.970 0 1
tights        6.997   2.970 0 1
time         44.616  -2.702 0 1
tiny          0.617   2.878 0 1
tired         0.719   0.812 0 1
tissue        6.997   2.970 0 1
to           14.464  -3.399 0 1
toast         6.997   2.970 0 1
today         5.355   0.930 0 1
toe          37.771   1.406 0 1
tomorrow     37.901   1.000 0 1
tongue        1.871   1.583 0 1
tonight      67.969   1.099 0 1
too           0.653  -0.177 0 1
tooth        37.771   1.406 0 1
toothbrush    6.997   2.970 0 1
touch         1.353   0.993 0 1
towel         1.911   1.229 0 1
toy           6.997   2.970 0 1
tractor       6.997   2.970 0 1
train         0.900   3.050 0 1
trash        67.969   1.099 0 1
tray          6.997   2.970 0 1
tree          2.568   0.664 0 1
tricycle      6.997   2.970 0 1
truck         2.295   1.898 0 1
tummy         6.997   2.970 0 1
tuna          6.997   2.970 0 1
turkey        6.997   2.970 0 1
turtle        6.997   2.970 0 1
uncle         1.628   0.635 0 1
under         1.529  -1.320 0 1
underpants    6.997   2.970 0 1
up           14.503  -1.678 0 1
us           47.359  -2.499 0 1
vacuum        1.460  -0.444 0 1
vagina        2.485   1.169 0 1
vanilla       2.717   1.423 0 1
vitamins      6.997   2.970 0 1
vroom         6.997   2.970 0 1
wait         20.257  -0.295 0 1
wake          2.849  -1.174 0 1
walk          1.838  -0.385 0 1
walker        6.997   2.970 0 1
wash          3.525   1.126 0 1
we           14.464  -3.399 0 1
wet           1.521   2.285 0 1
what          1.259  -1.390 0 1
when         14.464  -3.399 0 1
where        14.503  -1.678 0 1
which         2.018  -0.365 0 1
white         0.777  -1.134 0 1
who           1.337  -1.366 0 1
why           2.849  -1.174 0 1
wind          2.571   0.664 0 1
window        0.746  -0.651 0 1
windy        37.771   1.406 0 1
wipe          1.521   2.285 0 1
wish         14.503  -1.678 0 1
with         14.464  -3.399 0 1
wolf          0.985   2.894 0 1
woods        66.794   0.499 0 1
write         3.564  -0.758 0 1
yard         37.771   1.406 0 1
yellow        0.961   2.167 0 1
yes           6.997   2.970 0 1
yesterday     6.997   2.970 0 1
yogurt        6.997   2.970 0 1
you           3.125  -2.386 0 1
your          3.125  -2.386 0 1
yourself      1.360  -0.073 0 1
yucky         6.997   2.970 0 1
zebra         6.997   2.970 0 1
zipper        1.521   2.285 0 1
zoo           4.624   1.307 0 1

$means
F1 
 0 

$cov
   F1
F1  1
