	items.a	items.b	items.g	items.u	means	F1
bug	5.36960970073599	3.74971021598532	0	1	0	1
build	1.6628109305255	0.0914861781966642	0	1	0	1
bump	1.41047562661008	0.942554643665836	0	1	0	1
bunny	1.50896185454208	2.92962141571689	0	1	0	1
bus	8.85800100494188	1.5769574975309	0	1	0	1
butter	1.99631049845628	1.2959014558119	0	1	0	1
butterfly	20.2491570880319	2.03484236391696	0	1	0	1
button	1.32739639363277	0.276765440896773	0	1	0	1
buy	2.47380085566241	-0.675663677274191	0	1	0	1
by	2.2260093735054	-1.3616716114984	0	1	0	1
bye	0.952647899482528	1.18243239701165	0	1	0	1
cake	3.24934975193739	1.4936551439211	0	1	0	1
call	2.66009056814328	-1.15774738611329	0	1	0	1
camera	3.9657533854267	2.11792105787589	0	1	0	1
camping	5.82726593424456	1.51925983638867	0	1	0	1
candy	4.40390285133041	1.94100928223232	0	1	0	1
car	0.968808827860314	1.45962581641388	0	1	0	1
careful	2.00550632464409	0.232748957738672	0	1	0	1
carrots	2.14598857375763	2.86713001987072	0	1	0	1
carry	1.39100668114556	1.28367377433264	0	1	0	1
cat	1.85779234458423	1.63598756957422	0	1	0	1
catch	1.52506925453676	0.722021441674781	0	1	0	1
cereal	5.36960970073599	3.74971021598532	0	1	0	1
chair	1.09064476874515	1.12541176565942	0	1	0	1
chalk	5.36960970073599	3.74971021598532	0	1	0	1
chase	3.44932459155707	2.0125112472693	0	1	0	1
cheek	1.15205985534657	3.01849957494986	0	1	0	1
cheerios	5.36960970073599	3.74971021598532	0	1	0	1
cheese	1.53240360692092	1.36566926135446	0	1	0	1
child	0.917058464118323	1.34703436186028	0	1	0	1
chin	4.14089472966164	1.46639009840702	0	1	0	1
chocolate	2.98029674362678	0.28553914673668	0	1	0	1
church	1.37300817857365	0.946724468208406	0	1	0	1
circus	5.36960970073599	3.74971021598532	0	1	0	1
clap	1.78781891640869	1.21729354572585	0	1	0	1
climb	3.0628816133969	0.913861230991346	0	1	0	1
clock	1.10105149794433	-0.818744474162126	0	1	0	1
close	1.282648992287	0.502547600546905	0	1	0	1
closet	2.33419965575019	1.08916028829986	0	1	0	1
cloud	5.36960970073599	3.74971021598532	0	1	0	1
clown	2.14702488920373	2.86652200193589	0	1	0	1
coat	3.5255399318423	1.23844165920808	0	1	0	1
coffee	0.749419333598915	1.0016908239795	0	1	0	1
coke	5.36960970073599	3.74971021598532	0	1	0	1
cold	2.2492704878247	1.18298562003777	0	1	0	1
comb	1.1015276719834	2.55028605769809	0	1	0	1
cook	2.48970756569088	1.26251661338268	0	1	0	1
cookie	2.87298542889951	2.2755888038046	0	1	0	1
corn	5.05124568262639	1.80247434933286	0	1	0	1
couch	1.15501663936529	0.860802449854026	0	1	0	1
country	1.940124041571	1.00953919776936	0	1	0	1
cover	1.60610557446972	2.13935721486026	0	1	0	1
cow	1.37789351143031	2.74055479094722	0	1	0	1
cowboy	1.03248090894825	2.90334395699236	0	1	0	1
cracker	5.36960970073599	3.74971021598532	0	1	0	1
crayon	5.36960970073599	3.74971021598532	0	1	0	1
crib	0.74443095963475	3.97438834467662	0	1	0	1
cry	3.24139780746848	1.24197201346545	0	1	0	1
cup	1.94684873795961	1.6175790042101	0	1	0	1
cut	1.35083170156148	0.726697221840407	0	1	0	1
cute	1.52648542999376	0.511133456751656	0	1	0	1
daddy	2.08326159234697	1.19220623530658	0	1	0	1
dance	1.12654713564639	1.24141194132775	0	1	0	1
dark	1.95446488661485	0.530324220744605	0	1	0	1
day	1.73498377045074	-1.41594869905036	0	1	0	1
deer	0.729498141166082	5.24950292237183	0	1	0	1
diaper	1.33749926982329	3.12264500692794	0	1	0	1
did	1.34937687039664	-0.321139245215766	0	1	0	1
dinner	3.20827034127772	0.831164910333586	0	1	0	1
dirty	0.989404782947131	1.91065531290065	0	1	0	1
dish	1.40269633698642	3.55240150147646	0	1	0	1
doctor	1.84888867456937	1.52454410218326	0	1	0	1
dog	1.17405783711731	1.62072639766008	0	1	0	1
doll	2.20964020338641	2.47581675065163	0	1	0	1
donkey	2.13129924995443	1.94790261877953	0	1	0	1
donut	44.144070682973	1.88646260867431	0	1	0	1
door	1.55794582302101	-0.533028469189183	0	1	0	1
down	2.82801031273706	-1.15070376185362	0	1	0	1
downtown	5.369609700736	3.74971021598531	0	1	0	1
draw	0.627841370411692	2.06648297939252	0	1	0	1
drawer	1.75802516598628	1.91924189064209	0	1	0	1
dress	1.05954024598833	1.40512627601454	0	1	0	1
drive	1.45346509284525	0.50814678578706	0	1	0	1
drop	1.63134440885935	1.02799003892984	0	1	0	1
dryer	44.1440706829729	1.88646260867431	0	1	0	1
duck	5.36960970073599	3.74971021598532	0	1	0	1
dump	1.80612910681963	1.90283437926166	0	1	0	1
each	1.7886498715787	-1.07070692278657	0	1	0	1
ear	1.2626060239224	1.85834130504726	0	1	0	1
eat	1.3233915017575	-0.733255421063265	0	1	0	1
egg	2.56871855806072	1.44041759513435	0	1	0	1
elephant	0.699839278342109	4.67557084212429	0	1	0	1
empty	1.48468808642044	2.03899069643524	0	1	0	1
every	41.7077518992951	-1.09229257905553	0	1	0	1
eye	1.06577647580551	0.501502002237498	0	1	0	1
face	1.72456123177744	0.417609120921636	0	1	0	1
fall	1.5670420281308	-0.400185499294689	0	1	0	1
farm	1.64556833640991	2.30023384446643	0	1	0	1
fast	2.38907313669677	0.453555527370172	0	1	0	1
feed	1.71823252916505	0.620892131346961	0	1	0	1
find	1.67167569126484	-1.0925875407134	0	1	0	1
fine	2.57931526293547	0.734726872187095	0	1	0	1
finger	1.32355930990185	0.615944914184744	0	1	0	1
finish	3.49971578653666	-0.225512733594157	0	1	0	1
fireman	5.36960970073599	3.74971021598532	0	1	0	1
firetruck	5.36960970073599	3.74971021598532	0	1	0	1
first	1.20979039811786	0.735309288490619	0	1	0	1
fit	2.00014650236586	0.724188966662581	0	1	0	1
fix	1.18949928981202	0.737057537279256	0	1	0	1
flag	5.36960970073599	3.74971021598532	0	1	0	1
flower	0.686901704805676	4.20361948504738	0	1	0	1
food	1.01475647339962	0.631303608270878	0	1	0	1
foot	0.835947657550381	2.29079147090367	0	1	0	1
for.	1.85171519354586	-2.64067213971095	0	1	0	1
fork	2.34779139783752	1.77574279090451	0	1	0	1
friend	2.11726966364702	-0.57379819506474	0	1	0	1
frog	0.862493164329654	3.6021634034481	0	1	0	1
full	1.83982018992499	-0.614241060454359	0	1	0	1
game	1.29247169375008	0.0375076650700624	0	1	0	1
garage	1.0708682209337	1.53909741299084	0	1	0	1
garbage	3.91150967861577	1.47173797871797	0	1	0	1
garden	3.40468531247651	1.23977042175471	0	1	0	1
gentle	2.17824273972906	1.2805050131056	0	1	0	1
get	30.3917450331905	-2.17009635624818	0	1	0	1
giraffe	20.2491570880319	2.03484236391696	0	1	0	1
girl	3.06048403328738	-0.953537865665776	0	1	0	1
give	4.82002340638125	-1.58511145821793	0	1	0	1
glass	1.84641173340654	0.722187559698042	0	1	0	1
glasses	3.72704766128309	1.65354168352537	0	1	0	1
gloves	6.09832140154733	2.00855106135662	0	1	0	1
glue	2.14598857375763	2.86713001987072	0	1	0	1
go	1.48398120979863	-2.04648780203777	0	1	0	1
good	1.72243798359975	-1.2467533747887	0	1	0	1
goose	5.05323440780052	1.80241943276776	0	1	0	1
grandma	1.86484196230267	1.41399885402274	0	1	0	1
grandpa	1.24744028828977	1.4516909269842	0	1	0	1
grapes	5.36960970073599	3.74971021598532	0	1	0	1
grass	2.48511728665862	2.00974060884788	0	1	0	1
green	1.13877274440092	0.742140136059405	0	1	0	1
grrr	5.36960970073599	3.74971021598532	0	1	0	1
gum	2.14557804471366	2.86737205881441	0	1	0	1
hair	1.87118668999019	-0.609087734928904	0	1	0	1
hamburger	5.36960970073599	3.74971021598532	0	1	0	1
hammer	1.70611815373561	1.8005271708153	0	1	0	1
hand	1.2381798156474	0.0280691531626088	0	1	0	1
happy	1.03816106084332	0.24793666014328	0	1	0	1
hard	1.07893059145565	-0.681710478140628	0	1	0	1
hat	2.48364799297687	1.26279124212623	0	1	0	1
hate	2.5533743622173	-0.0440984094211809	0	1	0	1
have	1.85279354876541	-2.38248001380018	0	1	0	1
he	2.11806801812808	-1.91873820453906	0	1	0	1
head	2.7549665523213	-0.511465612898565	0	1	0	1
hear	2.38891413434264	-1.17253520435771	0	1	0	1
heavy	1.33839084022482	1.96512833006705	0	1	0	1
helicopter	5.36960970073599	3.74971021598532	0	1	0	1
hello	0.937409653276872	0.641560845510521	0	1	0	1
help	2.0922141207387	-1.02810011516931	0	1	0	1
hen	5.36960970073599	3.74971021598532	0	1	0	1
her	2.48597577957272	-1.34942790444525	0	1	0	1
here	1.38445151306136	0.0525475370266094	0	1	0	1
hers	5.92934334297271	1.89006345626627	0	1	0	1
hi	2.56319143774086	0.553533607862025	0	1	0	1
hide	1.19878385638952	1.09380773366048	0	1	0	1
high	1.5001098340714	0.828149872749264	0	1	0	1
him	2.04827621596139	-1.37533970449459	0	1	0	1
his	2.65911133584464	-1.7117699178844	0	1	0	1
hit	2.01666359274565	0.0211931098700981	0	1	0	1
hold	1.9702212802315	0.124730113861832	0	1	0	1
home	1.6887791279044	-0.783596853785588	0	1	0	1
horse	1.07099291331081	2.00189180372504	0	1	0	1
hose	5.36960970073599	3.74971021598532	0	1	0	1
hot	1.87433104750861	0.325433675772236	0	1	0	1
house	1.66969412921776	-0.255860443694038	0	1	0	1
how	1.89716948593192	-1.75466067317152	0	1	0	1
hug	2.81807006252567	0.826087344961645	0	1	0	1
hungry	1.37489187109226	0.615688728349067	0	1	0	1
hurry	2.36751016282359	0.639483844488638	0	1	0	1
hurt	1.67753033872359	0.309628080857654	0	1	0	1
ice	1.62699351224649	-0.518407692620331	0	1	0	1
inside	0.98880811994252	0.243412034241012	0	1	0	1
into	1.59797455137399	-2.73026739252286	0	1	0	1
it	1.85240620482484	-2.38257746628287	0	1	0	1
jacket	1.75075918955884	2.07210578116131	0	1	0	1
jar	45.5792538679167	1.71161975266114	0	1	0	1
jeans	2.5276077488535	0.552386374132141	0	1	0	1
jello	5.36960970073599	3.74971021598532	0	1	0	1
jelly	3.21641052973119	1.49510436011214	0	1	0	1
juice	1.52634633858251	1.36702907420283	0	1	0	1
jump	0.978168690303734	0.373871804177503	0	1	0	1
keys	0.661351718727612	3.88316967510167	0	1	0	1
kick	1.46574338602384	1.38156299723951	0	1	0	1
kiss	1.67027031066702	0.822171338964175	0	1	0	1
kitchen	1.61335160171181	0.304024883698838	0	1	0	1
kitty	2.80164534823137	2.10259598105211	0	1	0	1
knee	1.83119470343223	1.76332784213814	0	1	0	1
knife	2.43089719037389	0.549135041624416	0	1	0	1
knock	1.81640135114649	0.109238697147657	0	1	0	1
ladder	1.41547969235221	1.77758594409123	0	1	0	1
lady	2.11784675488851	0.911477638838059	0	1	0	1
lamb	1.05185714850493	4.18192903966344	0	1	0	1
lamp	5.36960970073599	3.74971021598532	0	1	0	1
last	7.38476527823689	-1.80186456533157	0	1	0	1
later	3.61861770926277	1.47999748286777	0	1	0	1
leg	2.18682385568334	1.47477035485222	0	1	0	1
lick	4.07348967466041	1.84007453547821	0	1	0	1
light	2.64628134477526	0.823927958962485	0	1	0	1
like	1.8970671580681	-1.75463800675907	0	1	0	1
lion	2.14598857375763	2.86713001987072	0	1	0	1
lips	1.06257789024024	0.123124164886426	0	1	0	1
listen	0.932440734902597	-0.755635997811391	0	1	0	1
little	5.1421142705776	-1.10306406916836	0	1	0	1
lollipop	5.36960970073599	3.74971021598532	0	1	0	1
long	1.60965254787088	-1.62006075001781	0	1	0	1
look	3.0795264776318	-1.53412233559064	0	1	0	1
loud	1.51401737035596	0.827494018464116	0	1	0	1
love	1.06884203404171	-0.834106712754352	0	1	0	1
lunch	3.03862835479381	0.997261879213126	0	1	0	1
mad	1.62389676563804	0.30496048936327	0	1	0	1
mailman	5.36960970073599	3.74971021598532	0	1	0	1
make	1.60617438986858	-2.00764776677955	0	1	0	1
man	0.550668635686786	0.233984467706284	0	1	0	1
me	1.85240620482484	-2.38257746628287	0	1	0	1
meat	1.06833164378592	1.13318624496744	0	1	0	1
medicine	20.2689684294791	2.03480582439255	0	1	0	1
melon	5.36960970073599	3.74971021598532	0	1	0	1
meow	44.144070682973	1.88646260867431	0	1	0	1
milk	1.26393661124804	1.4451754566345	0	1	0	1
mine	2.92973885499654	1.33289690299258	0	1	0	1
mittens	5.36960970073599	3.74971021598532	0	1	0	1
mommy	1.36740039794323	2.49795882891451	0	1	0	1
money	1.52827826453596	-0.0413059773222062	0	1	0	1
monkey	1.62818142925063	3.27834269065946	0	1	0	1
moo	26.1980368819469	1.97409397374241	0	1	0	1
moon	1.13471399750734	1.23837450786838	0	1	0	1
moose	5.36960970073599	3.74971021598532	0	1	0	1
mop	20.2689684294791	2.03480582439255	0	1	0	1
more	1.12383778004958	-0.808413414527541	0	1	0	1
morning	1.46909328537293	-0.984731074312543	0	1	0	1
motorcycle	3.63805341092823	2.38780853933857	0	1	0	1
mouse	2.14557804471366	2.86737205881441	0	1	0	1
mouth	2.48396402260034	-0.533959449538357	0	1	0	1
movie	1.24581512308674	0.732559558259751	0	1	0	1
much	30.5093244485895	-1.45440697696645	0	1	0	1
muffin	5.36960970073599	3.74971021598532	0	1	0	1
my	2.0001015618862	-1.7425323156895	0	1	0	1
myself	2.7063566483987	0.371508095158715	0	1	0	1
nail	1.19017872296441	2.24775439478859	0	1	0	1
nap	1.68908751809475	0.415294779357485	0	1	0	1
napkin	1.62818142925063	3.27834269065946	0	1	0	1
naughty	1.62818142925063	3.27834269065946	0	1	0	1
necklace	20.2491570880319	2.03484236391696	0	1	0	1
new	0.865517184972482	-1.47425787409285	0	1	0	1
nice	4.40142903547229	0.221762606986177	0	1	0	1
night	1.49287405076308	-0.685242965406983	0	1	0	1
no	0.61746473613376	1.2962699908133	0	1	0	1
noisy	2.14598857375763	2.86713001987072	0	1	0	1
none	2.31300526304441	-0.84327559129761	0	1	0	1
noodles	5.36960970073599	3.74971021598532	0	1	0	1
nose	2.8678964781261	0.996908253013828	0	1	0	1
not	3.12724724911802	-2.21828868280893	0	1	0	1
now	1.01705473154222	1.15301302843854	0	1	0	1
nurse	5.36960970073599	3.74971021598532	0	1	0	1
nuts	5.369609700736	3.74971021598531	0	1	0	1
of	1.85171519354586	-2.64067213971095	0	1	0	1
off	2.14976552962226	-0.710922070545164	0	1	0	1
old	2.04521583809434	-0.72455655689751	0	1	0	1
on	1.85171519354586	-2.64067213971095	0	1	0	1
open	1.07994639177337	0.749511617340679	0	1	0	1
other	2.65836735011367	-1.71177641884229	0	1	0	1
ouch	5.36960970073599	3.74971021598532	0	1	0	1
our	2.00363376764378	-1.55869357729096	0	1	0	1
out	1.23865971223589	-1.75279906020652	0	1	0	1
outside	3.53904146048375	1.31789127940167	0	1	0	1
oven	1.88960077534387	1.01169451603716	0	1	0	1
over	2.31873576414263	-0.842679868665236	0	1	0	1
owl	1.40951335795842	3.54293373080117	0	1	0	1
paint	0.623541726304628	3.0431277368118	0	1	0	1
pajamas	5.36960970073599	3.74971021598532	0	1	0	1
pancake	5.36960970073599	3.74971021598532	0	1	0	1
pants	4.5963333601152	1.00934583553873	0	1	0	1
paper	0.657890383282075	2.92984223373681	0	1	0	1
park	1.13928409931098	0.863398470727899	0	1	0	1
party	1.50383025005526	0.827970642028789	0	1	0	1
pattycake	5.36960970073599	3.74971021598532	0	1	0	1
peas	5.36960970073599	3.74971021598532	0	1	0	1
peekaboo	5.36960970073599	3.74971021598532	0	1	0	1
pen	20.2491570880319	2.03484236391696	0	1	0	1
pencil	1.78397671807686	2.7030099484032	0	1	0	1
penguin	5.36960970073599	3.74971021598532	0	1	0	1
penis	0.820536839137666	3.34903285333163	0	1	0	1
penny	5.36960970073599	3.74971021598532	0	1	0	1
people	1.41129180553138	-1.00160257453355	0	1	0	1
person	1.57746520769002	-0.95694210794786	0	1	0	1
pick	2.31635819208568	-1.17746381460088	0	1	0	1
pickle	20.2689684294791	2.03480582439255	0	1	0	1
picnic	2.94154776160089	1.50913873941938	0	1	0	1
picture	1.24360959699408	0.617283157365452	0	1	0	1
pig	0.771370942565367	4.37356732325222	0	1	0	1
pillow	2.34485185980933	2.20747416428266	0	1	0	1
pizza	3.4574146399174	2.01166665499594	0	1	0	1
plant	2.28806605090106	1.78592227455472	0	1	0	1
plate	1.49843661265323	2.62950995345675	0	1	0	1
play	1.7789085731696	-0.361412413596974	0	1	0	1
playground	5.36960970073599	3.74971021598532	0	1	0	1
please	1.62797922066439	1.02827763738428	0	1	0	1
police	0.966950526122968	0.505431746396829	0	1	0	1
pony	44.144070682973	1.88646260867431	0	1	0	1
pool	1.74473383511107	1.01957463518504	0	1	0	1
poor	2.08336177676206	1.38608184231987	0	1	0	1
popcorn	5.36960970073599	3.74971021598532	0	1	0	1
popsicle	5.369609700736	3.74971021598531	0	1	0	1
porch	1.45082621723954	1.38541699936217	0	1	0	1
potato	1.14431274769126	3.03013474304683	0	1	0	1
potty	5.369609700736	3.74971021598531	0	1	0	1
pour	1.85050266745493	0.819391238489917	0	1	0	1
present	4.40586223431174	1.94090677022355	0	1	0	1
pretend	1.84059722997392	1.5261084076595	0	1	0	1
pretty	2.92994568391174	0.082884575973271	0	1	0	1
pretzel	5.36960970073599	3.74971021598532	0	1	0	1
pudding	2.14557804471366	2.86737205881441	0	1	0	1
pull	1.38214246973822	0.505509010996777	0	1	0	1
pumpkin	1.17431057536127	3.36070688798879	0	1	0	1
puppy	2.14598857375763	2.86713001987072	0	1	0	1
purse	2.16515939803956	2.0875797855256	0	1	0	1
push	1.33844251288019	1.41851586518986	0	1	0	1
put	3.772266586209	-0.918938001758549	0	1	0	1
puzzle	20.2689684294791	2.03480582439255	0	1	0	1
quiet	1.75649554231715	1.78470106820802	0	1	0	1
radio	1.14326410276583	2.10877908089562	0	1	0	1
rain	1.42402383762624	1.27586540254053	0	1	0	1
raisin	5.369609700736	3.74971021598531	0	1	0	1
read	1.41766723918881	-0.433658234988616	0	1	0	1
red	1.35357653746992	0.615746144330519	0	1	0	1
refrigerator	2.87298542748523	2.27558880409876	0	1	0	1
ride	2.68072015774716	-0.0361960438336077	0	1	0	1
rip	1.11895689122842	3.45726179537061	0	1	0	1
rock	1.15361114982425	3.39574059844913	0	1	0	1
roof	2.07167130570064	1.09853220415075	0	1	0	1
room	2.26340284376715	0.728730363322455	0	1	0	1
rooster	0.744414812111172	3.97444755969649	0	1	0	1
run	1.8383764652145	0.111586975223872	0	1	0	1
sad	2.25121983857622	1.18289242224898	0	1	0	1
salt	1.73022726341587	1.3287979239953	0	1	0	1
same	1.87936741581933	-1.94904556058679	0	1	0	1
sandbox	5.36960970073599	3.74971021598532	0	1	0	1
sandwich	2.61197618327631	1.63166029376665	0	1	0	1
sauce	1.82186617247234	1.42072245739328	0	1	0	1
say	1.73763478860152	-0.77404882787696	0	1	0	1
scared	2.72124759837903	0.648610998347081	0	1	0	1
scarf	1.85243557031739	0.916296531389232	0	1	0	1
school	1.66787083412125	0.201680907622682	0	1	0	1
scissors	20.2928970256047	2.03476180003736	0	1	0	1
see	3.32851431562249	-1.53926951314383	0	1	0	1
shake	0.777540127209274	0.0784967294973825	0	1	0	1
share	1.26181173564342	0.502070447849163	0	1	0	1
she	2.35808844855223	-1.90041190412598	0	1	0	1
sheep	2.88063282358388	1.94335627180344	0	1	0	1
shush	5.36960970073599	3.74971021598532	0	1	0	1
shirt	2.43295136887523	1.26518868730037	0	1	0	1
shoe	6.09832140154733	2.00855106135662	0	1	0	1
shopping	1.55769509022833	0.512474575675639	0	1	0	1
shorts	2.15747282039887	2.08981752860219	0	1	0	1
shoulder	1.98171891190619	-0.331546415293509	0	1	0	1
shovel	6.09824907160053	2.00855268767994	0	1	0	1
show	2.20248373876328	-0.185795521430401	0	1	0	1
shower	2.70720941747408	0.175203896857101	0	1	0	1
sick	1.69444180699424	1.55735164866556	0	1	0	1
sidewalk	1.17431057536127	3.36070688798879	0	1	0	1
sing	1.19077188983741	0.382417982053481	0	1	0	1
sink	1.2031063354541	3.31396295189792	0	1	0	1
sister	1.21215875490352	-0.100689276728855	0	1	0	1
sit	1.58955846765383	-1.44558594367297	0	1	0	1
skate	5.36960970073599	3.74971021598532	0	1	0	1
sky	2.91437036566119	-0.249898790619533	0	1	0	1
sled	1.40951335795842	3.54293373080117	0	1	0	1
sleep	1.75343912632303	-0.36562199993203	0	1	0	1
sleepy	5.36960970073599	3.74971021598532	0	1	0	1
slipper	5.36960970073599	3.74971021598532	0	1	0	1
slow	2.19460697171472	0.819444540753317	0	1	0	1
smile	3.84907135215593	0.668010390240382	0	1	0	1
snack	2.14598857375763	2.86713001987072	0	1	0	1
sneaker	5.36960970073599	3.74971021598532	0	1	0	1
snow	3.0104892464398	1.3302532700316	0	1	0	1
snowman	5.36960970073599	3.74971021598532	0	1	0	1
snowsuit	5.36960970073599	3.74971021598532	0	1	0	1
soap	1.84285550478628	1.63931800384299	0	1	0	1
sock	2.14598857375763	2.86713001987072	0	1	0	1
soda	2.08978645996708	2.11042806555153	0	1	0	1
sofa	0.872587989892761	2.44005471505785	0	1	0	1
soft	1.19786862058619	2.24072015757499	0	1	0	1
some	3.67292599024764	-1.12734850908654	0	1	0	1
soup	3.96575674281978	2.11792077977199	0	1	0	1
spaghetti	2.48063779066481	2.0106542001883	0	1	0	1
spill	1.52141737708234	1.60561458410957	0	1	0	1
splash	4.09996465110293	1.73377005286141	0	1	0	1
spoon	1.28854147012109	3.18763895832472	0	1	0	1
sprinkler	5.36960970073599	3.74971021598532	0	1	0	1
squirrel	0.74443095963475	3.97438834467662	0	1	0	1
stairs	3.333607282592	-0.231102759255317	0	1	0	1
stand	2.44176332998316	-0.164489209507361	0	1	0	1
star	4.07979810336393	1.839743687423	0	1	0	1
stay	4.09769572455838	-1.35162768643388	0	1	0	1
stick	3.80363069684115	1.15881508398408	0	1	0	1
sticky	2.14557804471366	2.86737205881441	0	1	0	1
stone	3.63805341092824	2.38780853933857	0	1	0	1
stop	0.920041384396103	-0.31850541193467	0	1	0	1
store	1.36449636989636	1.41014554602312	0	1	0	1
story	4.00923497327416	-0.213132322811694	0	1	0	1
stove	1.24353232754402	1.72344032019519	0	1	0	1
strawberry	1.78076515991849	2.70520750370128	0	1	0	1
street	1.59168804983829	-0.525736128122535	0	1	0	1
stroller	5.36960970073599	3.74971021598532	0	1	0	1
stuck	0.919146327554117	2.16873447686261	0	1	0	1
sun	1.24332382713379	-0.618582298560494	0	1	0	1
sweater	2.22631672538942	2.46897174147807	0	1	0	1
sweep	1.9223539391748	2.16935736701688	0	1	0	1
swim	1.91108114777796	1.30485716664843	0	1	0	1
table	1.47045233269352	-0.170419616956493	0	1	0	1
take	5.89111024068315	-1.90451311714641	0	1	0	1
talk	1.35417908613062	-1.34329266277729	0	1	0	1
tape	0.871075574649284	1.8664310957038	0	1	0	1
taste	3.3438957612868	0.199221271683922	0	1	0	1
teacher	1.0439680889332	2.88466081278443	0	1	0	1
tear	0.673347663953629	4.80437732404984	0	1	0	1
telephone	2.14433001460935	1.81359992729666	0	1	0	1
that	1.82325017478746	-2.16425161527994	0	1	0	1
their	27.4812985686691	-1.96518809453853	0	1	0	1
them	2.62445585890546	-1.53129634850631	0	1	0	1
there	1.74712397701893	-0.366682928785795	0	1	0	1
these	2.78276700392254	-0.969982654470587	0	1	0	1
they	32.975869363221	-2.04692386930728	0	1	0	1
think	1.53995105443141	-1.82672835600338	0	1	0	1
thirsty	0.869711827874135	2.92863172455623	0	1	0	1
this	2.03995523200677	-1.73862108731016	0	1	0	1
those	4.54508597280443	-0.321064726114541	0	1	0	1
throw	5.23115949546171	-0.315317109090636	0	1	0	1
