value	category
splash	action_words
spoon	household
sprinkler	outside
squirrel	animals
stairs	furniture_rooms
stand	action_words
star	outside
stay	action_words
stick	outside
sticky	descriptive_words
stone	outside
stop	action_words
store	places
story	toys
stove	furniture_rooms
strawberry	food_drink
street	outside
stroller	vehicles
stuck	descriptive_words
sun	outside
sweater	clothing
sweep	action_words
swim	action_words
table	furniture_rooms
take	action_words
talk	action_words
tape	household
taste	action_words
teacher	people
tear	action_words
teddybear	animals
telephone	household
thank you	games_routines
that	pronouns
their	pronouns
them	pronouns
there	locations
these	pronouns
they	pronouns
think	action_words
thirsty	descriptive_words
this	pronouns
this little piggy	games_routines
those	pronouns
throw	action_words
tickle	action_words
tiger	animals
tights	clothing
time	time_words
tiny	descriptive_words
tired	descriptive_words
tissue	household
to	locations
toast	food_drink
today	time_words
toe	body_parts
tomorrow	time_words
tongue	body_parts
tonight	time_words
too	quantifiers
tooth	body_parts
toothbrush	household
touch	action_words
towel	household
toy	toys
tractor	vehicles
train	vehicles
trash	household
tray	household
tree	outside
tricycle	vehicles
truck	vehicles
tummy	body_parts
tuna	food_drink
turkey	animals
turn around	games_routines
turtle	animals
TV	furniture_rooms
uh oh	sounds
uncle	people
under	locations
underpants	clothing
up	locations
us	pronouns
vacuum	household
vagina	body_parts
vanilla	food_drink
vitamins	food_drink
vroom	sounds
wait	action_words
wake	action_words
walk	action_words
walker	household
want to	helping_verbs
wash	action_words
washing machine	furniture_rooms
we	pronouns
wet	descriptive_words
what	question_words
when	question_words
where	question_words
which	question_words
white	descriptive_words
who	question_words
why	question_words
wind	outside
window	furniture_rooms
windy	descriptive_words
wipe	action_words
wish	action_words
with	locations
wolf	animals
woods	places
woof woof	sounds
write	action_words
yard	places
yellow	descriptive_words
yes	games_routines
yesterday	time_words
yogurt	food_drink
you	pronouns
your	pronouns
yourself	pronouns
yucky	descriptive_words
yum yum	sounds
zebra	animals
zipper	clothing
zoo	places
