pants	0
paper	1
park	0
party	1
pattycake	0
peanut butter	 
peas	0
peekaboo	0
pen	0
pencil	0
penguin	0
penis	0
penny	0
people	1
person	1
pet's name	 
pick	1
pickle	0
picnic	1
picture	0
pig	0
pillow	0
pizza	0
plant	0
plate	0
play	1
play dough	 
play pen	 
playground	0
please	0
police	1
pony	0
pool	1
poor	0
popcorn	0
popsicle	0
porch	1
potato	0
potato chip	 
potty	0
pour	1
present	0
pretend	1
pretty	1
pretzel	0
pudding	0
pull	0
pumpkin	0
puppy	0
purse	0
push	0
put	1
puzzle	0
quack quack	 
quiet	1
radio	0
rain	0
raisin	0
read	1
red	1
refrigerator	0
ride	1
rip	0
rock	0
rocking chair	 
roof	0
room	1
rooster	0
run	1
sad	0
salt	1
same	1
sandbox	0
sandwich	0
sauce	0
say	1
scared	1
scarf	0
school	1
scissors	0
see	0
shake	1
share	1
she	1
sheep	0
shush	0
shirt	1
shoe	0
shopping	0
shorts	0
shoulder	1
shovel	0
show	1
shower	1
sick	1
sidewalk	0
sing	0
sink	0
sister	1
sit	1
skate	0
sky	1
sled	0
sleep	1
sleepy	0
slipper	0
slow	1
smile	0
snack	0
sneaker	0
snow	0
snowman	0
snowsuit	0
so big!	 
soap	0
sock	0
soda	0
sofa	1
soft	0
some	1
soup	1
spaghetti	0
spill	0
splash	1
spoon	0
sprinkler	0
squirrel	0
stairs	1
stand	0
star	0
stay	1
stick	1
sticky	0
stone	0
stop	1
store	1
story	1
stove	1
strawberry	0
street	1
stroller	0
stuck	1
sun	1
sweater	0
sweep	0
swim	1
table	1
take	1
talk	1
tape	0
taste	0
teacher	0
tear	1
teddybear	 
telephone	1
thank you	 
that	1
their	1
them	1
there	1
these	1
they	1
think	1
thirsty	0
this	1
this little piggy	 
those	1
throw	1
tickle	0
tiger	1
tights	0
time	1
tiny	1
tired	1
tissue	0
to	1
toast	0
today	0
toe	0
tomorrow	0
tongue	0
tonight	0
too	1
tooth	0
toothbrush	0
touch	0
towel	1
toy	0
tractor	0
train	0
trash	1
tray	0
tree	0
tricycle	0
truck	1
tummy	0
tuna	0
turkey	0
turn around	 
turtle	0
TV	 
uh oh	 
uncle	0
under	1
underpants	0
up	1
us	1
vacuum	1
vagina	1
vanilla	0
vitamins	0
vroom	0
wait	1
wake	1
walk	1
walker	0
want to	 
wash	0
washing machine	 
we	1
wet	0
what	1
when	1
where	1
which	1
white	1
who	1
why	1
wind	1
window	1
windy	0
wipe	0
wish	0
with	1
wolf	0
woods	1
woof woof	 
write	1
yard	0
yellow	0
yes	0
yesterday	0
yogurt	0
you	1
your	1
yourself	1
yucky	0
yum yum	 
zebra	0
zipper	0
zoo	0
